provincia,tramo_edad,genero,personas_beneficiarias,edicion
Chaco,18 a 29,Femenino,215,previaje 1
Chaco,30 a 44 años,Femenino,478,previaje 1
Chaco,45 a 59 años,Femenino,238,previaje 1
Chaco,60 años y más,Femenino,103,previaje 1
Chaco,18 a 29,Masculino,179,previaje 1
Chaco,30 a 44 años,Masculino,353,previaje 1
Chaco,45 a 59 años,Masculino,177,previaje 1
Chaco,60 años y más,Masculino,61,previaje 1
Salta,18 a 29,Femenino,314,previaje 1
Salta,30 a 44 años,Femenino,563,previaje 1
Salta,45 a 59 años,Femenino,336,previaje 1
Salta,60 años y más,Femenino,110,previaje 1
Salta,18 a 29,Masculino,274,previaje 1
Salta,30 a 44 años,Masculino,511,previaje 1
Salta,45 a 59 años,Masculino,280,previaje 1
Salta,60 años y más,Masculino,95,previaje 1
Santiago del Estero,18 a 29,Femenino,68,previaje 1
Santiago del Estero,30 a 44 años,Femenino,89,previaje 1
Santiago del Estero,45 a 59 años,Femenino,52,previaje 1
Santiago del Estero,60 años y más,Femenino,16,previaje 1
Santiago del Estero,18 a 29,Masculino,57,previaje 1
Santiago del Estero,30 a 44 años,Masculino,107,previaje 1
Santiago del Estero,45 a 59 años,Masculino,61,previaje 1
Santiago del Estero,60 años y más,Masculino,19,previaje 1
Tucumán,18 a 29,Femenino,430,previaje 1
Tucumán,30 a 44 años,Femenino,620,previaje 1
Tucumán,45 a 59 años,Femenino,304,previaje 1
Tucumán,60 años y más,Femenino,117,previaje 1
Tucumán,18 a 29,Masculino,368,previaje 1
Tucumán,30 a 44 años,Masculino,738,previaje 1
Tucumán,45 a 59 años,Masculino,322,previaje 1
Tucumán,60 años y más,Masculino,136,previaje 1
Santa Cruz,18 a 29,Femenino,95,previaje 1
Santa Cruz,30 a 44 años,Femenino,206,previaje 1
Santa Cruz,45 a 59 años,Femenino,71,previaje 1
Santa Cruz,60 años y más,Femenino,26,previaje 1
Santa Cruz,18 a 29,Masculino,68,previaje 1
Santa Cruz,30 a 44 años,Masculino,183,previaje 1
Santa Cruz,45 a 59 años,Masculino,81,previaje 1
Santa Cruz,60 años y más,Masculino,16,previaje 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",18 a 29,Femenino,191,previaje 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",30 a 44 años,Femenino,427,previaje 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",45 a 59 años,Femenino,160,previaje 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",60 años y más,Femenino,37,previaje 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",18 a 29,Masculino,125,previaje 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",30 a 44 años,Masculino,416,previaje 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",45 a 59 años,Masculino,161,previaje 1
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",60 años y más,Masculino,41,previaje 1
Río Negro,18 a 29,Femenino,180,previaje 1
Río Negro,30 a 44 años,Femenino,561,previaje 1
Río Negro,45 a 59 años,Femenino,318,previaje 1
Río Negro,60 años y más,Femenino,124,previaje 1
Río Negro,18 a 29,Masculino,155,previaje 1
Río Negro,30 a 44 años,Masculino,477,previaje 1
Río Negro,45 a 59 años,Masculino,308,previaje 1
Río Negro,60 años y más,Masculino,116,previaje 1
Neuquén,18 a 29,Femenino,200,previaje 1
Neuquén,30 a 44 años,Femenino,513,previaje 1
Neuquén,45 a 59 años,Femenino,305,previaje 1
Neuquén,60 años y más,Femenino,118,previaje 1
Neuquén,18 a 29,Masculino,184,previaje 1
Neuquén,30 a 44 años,Masculino,553,previaje 1
Neuquén,45 a 59 años,Masculino,294,previaje 1
Neuquén,60 años y más,Masculino,107,previaje 1
La Pampa,18 a 29,Femenino,46,previaje 1
La Pampa,30 a 44 años,Femenino,136,previaje 1
La Pampa,45 a 59 años,Femenino,96,previaje 1
La Pampa,60 años y más,Femenino,39,previaje 1
La Pampa,18 a 29,Masculino,29,previaje 1
La Pampa,30 a 44 años,Masculino,109,previaje 1
La Pampa,45 a 59 años,Masculino,91,previaje 1
La Pampa,60 años y más,Masculino,38,previaje 1
Chubut,18 a 29,Femenino,166,previaje 1
Chubut,30 a 44 años,Femenino,380,previaje 1
Chubut,45 a 59 años,Femenino,197,previaje 1
Chubut,60 años y más,Femenino,112,previaje 1
Chubut,18 a 29,Masculino,118,previaje 1
Chubut,30 a 44 años,Masculino,383,previaje 1
Chubut,45 a 59 años,Masculino,210,previaje 1
Chubut,60 años y más,Masculino,87,previaje 1
La Rioja,18 a 29,Femenino,56,previaje 1
La Rioja,30 a 44 años,Femenino,90,previaje 1
La Rioja,45 a 59 años,Femenino,39,previaje 1
La Rioja,60 años y más,Femenino,19,previaje 1
La Rioja,18 a 29,Masculino,47,previaje 1
La Rioja,30 a 44 años,Masculino,94,previaje 1
La Rioja,45 a 59 años,Masculino,31,previaje 1
La Rioja,60 años y más,Masculino,25,previaje 1
Corrientes,18 a 29,Femenino,61,previaje 1
Corrientes,30 a 44 años,Femenino,108,previaje 1
Corrientes,45 a 59 años,Femenino,89,previaje 1
Corrientes,60 años y más,Femenino,29,previaje 1
Corrientes,18 a 29,Masculino,88,previaje 1
Corrientes,30 a 44 años,Masculino,130,previaje 1
Corrientes,45 a 59 años,Masculino,93,previaje 1
Corrientes,60 años y más,Masculino,36,previaje 1
Mendoza,18 a 29,Femenino,540,previaje 1
Mendoza,30 a 44 años,Femenino,1109,previaje 1
Mendoza,45 a 59 años,Femenino,647,previaje 1
Mendoza,60 años y más,Femenino,279,previaje 1
Mendoza,18 a 29,Masculino,476,previaje 1
Mendoza,30 a 44 años,Masculino,1314,previaje 1
Mendoza,45 a 59 años,Masculino,805,previaje 1
Mendoza,60 años y más,Masculino,307,previaje 1
San Juan,18 a 29,Femenino,73,previaje 1
San Juan,30 a 44 años,Femenino,120,previaje 1
San Juan,45 a 59 años,Femenino,73,previaje 1
San Juan,60 años y más,Femenino,30,previaje 1
San Juan,18 a 29,Masculino,74,previaje 1
San Juan,30 a 44 años,Masculino,162,previaje 1
San Juan,45 a 59 años,Masculino,104,previaje 1
San Juan,60 años y más,Masculino,35,previaje 1
San Luis,18 a 29,Femenino,62,previaje 1
San Luis,30 a 44 años,Femenino,116,previaje 1
San Luis,45 a 59 años,Femenino,72,previaje 1
San Luis,60 años y más,Femenino,36,previaje 1
San Luis,18 a 29,Masculino,53,previaje 1
San Luis,30 a 44 años,Masculino,144,previaje 1
San Luis,45 a 59 años,Masculino,81,previaje 1
San Luis,60 años y más,Masculino,24,previaje 1
Buenos Aires,18 a 29,Femenino,11651,previaje 1
Buenos Aires,30 a 44 años,Femenino,15581,previaje 1
Buenos Aires,45 a 59 años,Femenino,10683,previaje 1
Buenos Aires,60 años y más,Femenino,4910,previaje 1
Buenos Aires,18 a 29,Masculino,9412,previaje 1
Buenos Aires,30 a 44 años,Masculino,15401,previaje 1
Buenos Aires,45 a 59 años,Masculino,10129,previaje 1
Buenos Aires,60 años y más,Masculino,4166,previaje 1
Ciudad Autónoma de Buenos Aires,18 a 29,Femenino,6468,previaje 1
Ciudad Autónoma de Buenos Aires,30 a 44 años,Femenino,10098,previaje 1
Ciudad Autónoma de Buenos Aires,45 a 59 años,Femenino,5583,previaje 1
Ciudad Autónoma de Buenos Aires,60 años y más,Femenino,2323,previaje 1
Ciudad Autónoma de Buenos Aires,18 a 29,Masculino,5433,previaje 1
Ciudad Autónoma de Buenos Aires,30 a 44 años,Masculino,10309,previaje 1
Ciudad Autónoma de Buenos Aires,45 a 59 años,Masculino,5940,previaje 1
Ciudad Autónoma de Buenos Aires,60 años y más,Masculino,2608,previaje 1
Entre Ríos,18 a 29,Femenino,309,previaje 1
Entre Ríos,30 a 44 años,Femenino,606,previaje 1
Entre Ríos,45 a 59 años,Femenino,477,previaje 1
Entre Ríos,60 años y más,Femenino,363,previaje 1
Entre Ríos,18 a 29,Masculino,251,previaje 1
Entre Ríos,30 a 44 años,Masculino,596,previaje 1
Entre Ríos,45 a 59 años,Masculino,408,previaje 1
Entre Ríos,60 años y más,Masculino,186,previaje 1
Formosa,18 a 29,Femenino,16,previaje 1
Formosa,30 a 44 años,Femenino,17,previaje 1
Formosa,45 a 59 años,Femenino,19,previaje 1
Formosa,60 años y más,Femenino,17,previaje 1
Formosa,18 a 29,Masculino,14,previaje 1
Formosa,30 a 44 años,Masculino,23,previaje 1
Formosa,45 a 59 años,Masculino,12,previaje 1
Formosa,60 años y más,Masculino,4,previaje 1
Misiones,18 a 29,Femenino,127,previaje 1
Misiones,30 a 44 años,Femenino,236,previaje 1
Misiones,45 a 59 años,Femenino,183,previaje 1
Misiones,60 años y más,Femenino,101,previaje 1
Misiones,18 a 29,Masculino,90,previaje 1
Misiones,30 a 44 años,Masculino,275,previaje 1
Misiones,45 a 59 años,Masculino,151,previaje 1
Misiones,60 años y más,Masculino,74,previaje 1
Santa Fe,18 a 29,Femenino,1959,previaje 1
Santa Fe,30 a 44 años,Femenino,3652,previaje 1
Santa Fe,45 a 59 años,Femenino,2427,previaje 1
Santa Fe,60 años y más,Femenino,1350,previaje 1
Santa Fe,18 a 29,Masculino,1653,previaje 1
Santa Fe,30 a 44 años,Masculino,3969,previaje 1
Santa Fe,45 a 59 años,Masculino,2383,previaje 1
Santa Fe,60 años y más,Masculino,1078,previaje 1
Córdoba,18 a 29,Femenino,1555,previaje 1
Córdoba,30 a 44 años,Femenino,3046,previaje 1
Córdoba,45 a 59 años,Femenino,1814,previaje 1
Córdoba,60 años y más,Femenino,806,previaje 1
Córdoba,18 a 29,Masculino,1259,previaje 1
Córdoba,30 a 44 años,Masculino,3271,previaje 1
Córdoba,45 a 59 años,Masculino,2006,previaje 1
Córdoba,60 años y más,Masculino,782,previaje 1
Catamarca,18 a 29,Femenino,30,previaje 1
Catamarca,30 a 44 años,Femenino,62,previaje 1
Catamarca,45 a 59 años,Femenino,19,previaje 1
Catamarca,60 años y más,Femenino,19,previaje 1
Catamarca,18 a 29,Masculino,37,previaje 1
Catamarca,30 a 44 años,Masculino,69,previaje 1
Catamarca,45 a 59 años,Masculino,38,previaje 1
Catamarca,60 años y más,Masculino,13,previaje 1
Jujuy,18 a 29,Femenino,83,previaje 1
Jujuy,30 a 44 años,Femenino,178,previaje 1
Jujuy,45 a 59 años,Femenino,97,previaje 1
Jujuy,60 años y más,Femenino,45,previaje 1
Jujuy,18 a 29,Masculino,83,previaje 1
Jujuy,30 a 44 años,Masculino,158,previaje 1
Jujuy,45 a 59 años,Masculino,91,previaje 1
Jujuy,60 años y más,Masculino,13,previaje 1
Buenos Aires,18 a 29,Femenino,66814,previaje 2
Buenos Aires,30 a 44 años,Femenino,103922,previaje 2
Buenos Aires,45 a 59 años,Femenino,79003,previaje 2
Buenos Aires,60 años y más,Femenino,63497,previaje 2
